,Unnamed: 0,location,total_sqft,bath,price,bhk
159,159,basundhara-r-a block c,2000,4,15500000,3
160,160,basundhara-r-a block c,2220,4,18000000,4
161,161,basundhara-r-a block c,1717,4,11500000,3
162,162,basundhara-r-a block c,1200,3,8500000,3
163,163,basundhara-r-a block c,1385,3,10500000,3
164,164,basundhara-r-a block c,1560,4,12000000,3
165,165,basundhara-r-a block c,2100,4,18000000,4
166,166,basundhara-r-a block c,1350,3,9500000,3
167,167,basundhara-r-a block c,1500,3,10500000,3
168,168,basundhara-r-a block c,1400,3,9500000,3
169,169,basundhara-r-a block c,1450,3,9500000,3
170,171,basundhara-r-a block c,915,2,7000000,2
171,172,basundhara-r-a block c,1400,3,11000000,3
172,173,basundhara-r-a block c,1250,3,9500000,3
173,174,basundhara-r-a block c,1650,3,11000000,3
174,175,basundhara-r-a block c,1450,3,9500000,3
175,176,basundhara-r-a block c,2075,3,26500000,3
176,177,basundhara-r-a block c,1550,4,11000000,3
177,178,basundhara-r-a block c,2670,4,23000000,4
178,179,basundhara-r-a block d,1085,3,7500000,3
179,180,basundhara-r-a block d,1814,3,20000000,3
180,181,basundhara-r-a block d,1800,4,21500000,3
181,182,basundhara-r-a block d,1850,3,14500000,3
182,183,basundhara-r-a block d,2100,4,17800000,3
183,184,basundhara-r-a block d,1575,3,11500000,4
184,185,basundhara-r-a block d,1200,3,8500000,3
185,186,basundhara-r-a block d,2100,3,17800000,3
186,187,basundhara-r-a block d,1290,3,8400000,3
187,188,basundhara-r-a block d,2440,3,20000000,3
188,189,basundhara-r-a block d,1300,3,17500000,3
189,190,basundhara-r-a block d,1879,4,17000000,3
190,191,basundhara-r-a block d,2000,3,14500000,3
191,192,basundhara-r-a block d,2000,4,14500000,3
192,193,basundhara-r-a block d,4350,6,39000000,6
193,194,basundhara-r-a block e,2380,5,21000000,4
194,195,basundhara-r-a block e,2380,4,21000000,4
195,196,basundhara-r-a block e,1480,3,12500000,3
196,197,basundhara-r-a block e,2645,4,23000000,4
197,198,basundhara-r-a block e,1480,3,12500000,3
198,199,basundhara-r-a block e,1500,3,11000000,3
199,200,basundhara-r-a block e,1280,3,9000000,3
200,201,basundhara-r-a block e,1500,3,10500000,3
201,202,basundhara-r-a block e,1460,4,12000000,3
202,203,basundhara-r-a block e,1288,3,8728000,3
203,204,basundhara-r-a block e,2278,5,15000000,3
204,205,basundhara-r-a block e,1851,4,15000000,3
205,206,basundhara-r-a block e,2700,4,18000000,4
206,207,basundhara-r-a block e,1235,3,9000000,3
207,208,basundhara-r-a block e,1650,3,11000000,3
208,209,basundhara-r-a block f,1950,3,19000000,4
209,210,basundhara-r-a block f,935,2,5500000,2
210,211,basundhara-r-a block f,1420,3,11000000,3
211,212,basundhara-r-a block f,1550,3,10000000,3
212,213,basundhara-r-a block f,1422,3,11000000,3
213,214,basundhara-r-a block f,1700,3,12500000,3
214,215,basundhara-r-a block f,1650,3,12500000,3
215,216,basundhara-r-a block f,1550,3,12500000,3
216,217,basundhara-r-a block f,1662,3,10000000,3
217,218,basundhara-r-a block f,1550,3,11600000,3
218,219,basundhara-r-a block f,2000,3,13500000,3
219,220,basundhara-r-a block f,2703,4,25000000,4
220,221,basundhara-r-a block f,1730,4,10500000,3
221,222,basundhara-r-a block f,1550,4,11000000,3
222,223,basundhara-r-a block f,1255,3,8500000,3
223,224,basundhara-r-a block g,1550,3,13000000,3
224,225,basundhara-r-a block g,1400,3,10500000,3
225,226,basundhara-r-a block g,1476,3,11000000,3
226,227,basundhara-r-a block g,1750,4,13800000,3
227,228,basundhara-r-a block g,1525,4,12000000,3
228,229,basundhara-r-a block g,1870,3,13800000,3
229,230,basundhara-r-a block g,1570,3,11000000,4
230,231,basundhara-r-a block g,1650,3,14000000,3
231,232,basundhara-r-a block g,1253,3,8600000,2
232,233,basundhara-r-a block g,1550,3,11000000,3
233,234,basundhara-r-a block g,1520,3,9700000,4
234,235,basundhara-r-a block g,1624,3,12000000,3
235,236,basundhara-r-a block g,1530,3,10900000,3
236,237,basundhara-r-a block g,1500,4,10000000,3
237,238,basundhara-r-a block g,1305,3,8100000,3
238,239,basundhara-r-a block g,2393,3,16500000,4
239,240,gulshan 1,2600,4,31000000,4
240,241,gulshan 1,2294,4,33000000,3
241,242,gulshan 1,2030,3,27500000,3
242,243,gulshan 1,2030,3,29900000,3
243,244,gulshan 1,2000,3,27000000,3
244,246,gulshan 1,2972,4,50400000,4
245,247,gulshan 1,2169,3,32000000,3
246,248,gulshan 1,2500,3,41000000,3
247,249,gulshan 1,2409,3,30600000,3
248,250,gulshan 1,2613,4,35500000,4
249,253,gulshan 1,1505,3,20000000,3
250,254,gulshan 1,3827,4,46000000,4
251,256,gulshan 1,2961,3,45000000,3
252,257,gulshan 1,1434,3,23600000,3
253,259,gulshan 1,1850,3,33000000,3
254,260,gulshan 1,1760,3,31500000,3
255,261,gulshan 1,1960,3,31500000,3
256,262,gulshan 1,3350,4,38000000,4
257,263,gulshan 1,3100,3,45000000,4
258,264,gulshan 2,3495,5,45000000,5
259,265,gulshan 2,2906,3,45000000,4
260,267,gulshan 2,2380,3,30000000,3
261,269,gulshan 2,2525,3,39000000,3
262,270,gulshan 2,2091,3,25000000,3
263,271,gulshan 2,3011,3,45000000,4
264,272,gulshan 2,2200,3,36000000,3
265,273,gulshan 2,1975,3,27000000,3
266,277,gulshan 2,3314,4,49500000,3
267,278,gulshan 2,2091,3,25000000,3
268,279,gulshan 2,1850,3,26000000,3
269,280,gulshan 2,2600,3,35000000,3
270,281,gulshan 2,2191,3,31500000,3
271,282,gulshan 2,3698,4,52500000,3
272,284,mirpur pallabi,1320,3,7500000,3
273,285,mirpur pallabi,850,2,3700000,2
274,286,mirpur pallabi,850,2,3100000,2
275,287,mirpur pallabi,1285,2,6800000,3
276,288,mirpur pallabi,1460,3,9000000,3
277,289,mirpur pallabi,1380,3,9700000,3
278,290,mirpur pallabi,1485,4,8000000,3
279,291,mirpur pallabi,1554,3,11500000,3
280,292,mirpur pallabi,1090,3,6000000,3
281,293,mirpur pallabi,1522,3,9000000,3
282,294,mirpur pallabi,950,2,5200000,3
283,295,mirpur pallabi,1390,3,6700000,3
284,296,mirpur pallabi,1260,3,7900000,3
285,297,mirpur pallabi,960,3,4900000,3
286,298,mirpur pallabi,1450,3,14500000,2
287,299,mirpur section 2,1220,3,6700000,3
288,300,mirpur section 2,1264,3,11000000,3
289,301,mirpur section 2,1605,3,13500000,3
290,302,mirpur section 2,1200,2,5500000,3
291,303,mirpur section 2,1010,2,6800000,3
292,304,mirpur section 2,1290,3,7800000,3
293,305,mirpur section 2,1280,3,7700000,3
294,306,mirpur ahmed nagar,1200,3,6000000,3
295,307,mirpur ahmed nagar,1200,3,6000000,3
296,308,mirpur ahmed nagar,1208,2,6800000,3
297,309,mirpur ahmed nagar,1350,2,7200000,3
298,310,mirpur ahmed nagar,1350,3,7200000,3
299,311,mirpur ahmed nagar,850,2,4300000,2
300,312,mirpur ahmed nagar,850,2,4300000,2
301,313,mirpur ahmed nagar,1120,3,6000000,3
302,314,mirpur ahmed nagar,1500,3,6500000,3
303,315,mirpur ahmed nagar,1260,3,5000000,3
304,316,mirpur ahmed nagar,900,2,4000000,2
305,317,mirpur ahmed nagar,1000,2,4500000,3
306,318,mirpur ahmed nagar,1276,2,5200000,3
307,319,mirpur ahmed nagar,1200,3,5040000,3
308,320,mirpur ahmed nagar,1250,3,5250000,3
309,321,mirpur ahmed nagar,1350,3,6075000,3
310,322,mirpur section 10,754,2,4000000,2
311,323,mirpur section 10,1500,3,10000000,3
312,324,mirpur section 10,850,2,4800000,2
313,325,mirpur section 10,650,2,3100000,2
314,326,mirpur section 10,800,2,4700000,3
315,327,mirpur section 10,1375,3,10000000,3
316,328,mirpur section 10,935,2,4800000,2
317,329,mirpur section 10,1250,3,7800000,3
318,330,mirpur section 10,1375,3,10300000,3
319,331,mirpur section 10,1080,2,6000000,3
320,332,mirpur section 10,1180,2,6500000,3
321,333,mirpur section 10,1080,2,6500000,3
322,334,mirpur section 10,1365,3,7508000,3
323,335,mirpur section 15,1553,3,10500000,3
324,336,mirpur section 15,1553,3,10000000,3
325,337,mirpur section 15,1015,2,6000000,2
326,338,mirpur section 15,1872,4,17000000,4
327,339,mirpur section 15,1553,3,11000000,3
328,340,mirpur section 15,1553,3,10000000,3
329,341,mirpur section 15,980,2,5700000,2
330,342,mirpur section 15,1040,2,6400000,2
331,343,mirpur section 15,1708,4,10600000,3
332,344,mirpur section 15,1872,4,12500000,3
333,345,mirpur section 15,1553,4,11000000,3
334,346,mirpur section 15,1175,3,8000000,3
335,347,mirpur section 15,1553,3,12500000,3
336,348,mirpur section 15,1872,3,19000000,3
337,349,mirpur section 11,950,2,4300000,2
338,350,mirpur section 11,800,2,4200000,2
339,351,mirpur section 11,819,2,3650000,2
340,352,mirpur section 11,1220,3,7500000,3
341,353,mirpur section 11,650,2,3000000,2
342,354,mirpur section 11,650,2,2900000,2
343,355,mirpur section 11,650,2,3200000,2
344,356,mirpur section 11,650,2,2520000,2
345,357,mirpur section 11,1220,3,7500000,3
346,358,mirpur section 11,600,2,2300000,2
347,359,mirpur section 11,900,2,5000000,2
348,360,mirpur section 11,1300,2,7500000,3
349,361,mirpur section 11,650,2,3000000,2
350,362,mirpur section 11,650,2,3100000,2
351,363,mirpur section 11,600,2,2300000,2
352,364,mirpur section 11,650,2,4700000,2
353,365,mirpur section 12,650,2,3000000,2
354,366,mirpur section 12,920,2,4500000,3
355,367,mirpur section 12,935,2,5000000,3
356,368,mirpur section 12,920,2,5000000,3
357,369,mirpur section 12,935,2,4900000,3
358,370,mirpur section 12,1450,3,8000000,3
359,371,mirpur section 12,1300,4,5800000,4
360,372,mirpur section 12,626,2,3200000,2
361,373,mirpur section 12,626,2,3000000,2
362,374,mirpur section 12,1125,3,6700000,3
363,375,mirpur section 12,650,2,3200000,2
364,376,mirpur section 12,1770,3,9000000,3
365,377,mirpur section 12,650,2,3600000,2
366,378,mirpur section 12,650,2,3600000,2
367,379,mirpur section 12,650,2,2500000,2
368,380,mirpur section 12,856,2,3700000,2
369,381,south monipur,1500,3,7000000,3
370,382,south monipur,1370,3,6500000,3
371,383,south monipur,1370,3,6300000,3
372,384,south monipur,1400,3,6300000,3
373,385,south monipur,1000,2,4500000,2
374,386,south monipur,1100,2,5500000,3
375,387,south monipur,1000,2,4500000,2
376,388,south monipur,1200,3,5400000,3
377,389,south monipur,1000,2,4500000,2
378,390,south monipur,1370,3,6500000,3
379,391,south monipur,1180,2,5600000,3
380,392,south monipur,1400,3,6300000,3
381,393,south monipur,1250,2,5500000,3
382,394,south monipur,1500,4,7400000,3
383,395,south monipur,1270,2,5600000,3
384,396,mirpur paikpara,1350,3,9445000,3
385,397,mirpur paikpara,1650,4,11400000,4
386,398,mirpur paikpara,1300,3,6700000,3
387,399,mirpur paikpara,1350,3,9600000,3
388,400,mirpur paikpara,1340,3,9500000,3
389,401,mirpur paikpara,1050,2,4500000,3
390,402,mirpur paikpara,1275,3,6500000,3
391,403,mirpur paikpara,1350,3,9600000,3
392,404,mirpur paikpara,1265,3,6925000,3
393,405,mirpur paikpara,1350,3,5170000,3
394,406,mirpur paikpara,1650,4,13000000,4
395,407,mirpur paikpara,1232,3,6760000,3
396,408,mirpur paikpara,1232,3,7360000,3
397,409,mirpur paikpara,1265,3,7558000,3
398,410,mirpur paikpara,1430,3,7750000,3
399,411,mirpur section 6,1050,2,6000000,2
400,412,mirpur section 6,550,2,3000000,2
401,413,mirpur section 6,700,1,2700000,2
402,414,mirpur section 6,700,2,2500000,2
403,415,mirpur section 6,1320,3,7500000,3
404,416,mirpur section 6,1425,3,8500000,3
405,417,mirpur section 6,1050,2,6180000,2
406,418,mirpur section 6,650,2,3000000,2
407,419,mirpur section 6,650,2,2800000,2
408,420,mirpur section 6,450,1,2000000,1
409,421,mirpur section 6,700,1,3000000,2
410,422,mirpur section 6,700,1,3000000,2
411,423,mirpur section 6,1250,3,8500000,3
412,424,mirpur section 6,650,2,2900000,2
413,425,mirpur section 6,1050,3,4700000,3
414,426,West Dhanmondi and Shangkar,1280,3,7000000,3
415,427,West Dhanmondi and Shangkar,1500,3,10200000,3
416,428,West Dhanmondi and Shangkar,1420,3,9656000,3
417,429,West Dhanmondi and Shangkar,1400,3,9800000,3
418,430,West Dhanmondi and Shangkar,1400,3,9800000,3
419,431,West Dhanmondi and Shangkar,1400,3,9520000,3
420,432,West Dhanmondi and Shangkar,830,2,5000000,2
421,433,West Dhanmondi and Shangkar,1465,3,10500000,3
422,434,West Dhanmondi and Shangkar,1140,3,6500000,3
423,435,West Dhanmondi and Shangkar,1140,3,6500000,3
424,436,West Dhanmondi and Shangkar,1440,3,11000000,3
425,437,West Dhanmondi and Shangkar,1590,4,8700000,4
426,438,West Dhanmondi and Shangkar,1150,2,7000000,3
427,439,West Dhanmondi and Shangkar,955,2,6500000,3
428,440,West Dhanmondi and Shangkar,795,2,4372500,2
429,441,West Dhanmondi and Shangkar,1530,3,7000000,3
430,442,West Dhanmondi and Shangkar,1100,3,6500000,3
431,443,West Dhanmondi and Shangkar,1000,2,4500000,2
432,444,West Dhanmondi and Shangkar,1025,2,6000000,3
433,445,West Dhanmondi and Shangkar,950,2,4500000,2
434,446,West Dhanmondi and Shangkar,1200,3,6000000,3
435,447,West Dhanmondi and Shangkar,1500,3,10500000,3
436,448,West Dhanmondi and Shangkar,1400,3,9800000,3
437,449,West Dhanmondi and Shangkar,1420,3,9940000,3
438,450,West Dhanmondi and Shangkar,1012,2,6000000,2
439,451,West Dhanmondi and Shangkar,1388,3,10826400,3
440,452,West Dhanmondi and Shangkar,1500,3,9450000,3
441,453,West Dhanmondi and Shangkar,1530,3,9639000,3
442,454,West Dhanmondi and Shangkar,1530,3,10700000,3
443,455,West Dhanmondi and Shangkar,1100,3,5500000,3
444,456,West Dhanmondi and Shangkar,1530,3,9639000,3
445,457,West Dhanmondi and Shangkar,1100,3,7000000,3
446,458,West Dhanmondi and Shangkar,1500,3,9450000,3
447,459,Dhanmondi Sher-E-Bangla Road,1270,2,8955000,3
448,460,Dhanmondi Sher-E-Bangla Road,1200,2,8500000,3
449,461,Dhanmondi Sher-E-Bangla Road,1200,2,8500000,3
450,462,Dhanmondi Sher-E-Bangla Road,1270,2,8955000,3
451,463,Dhanmondi Sher-E-Bangla Road,1270,2,8955000,3
452,464,Dhanmondi Sher-E-Bangla Road,1100,2,7850000,3
453,465,Dhanmondi Sher-E-Bangla Road,1160,2,8240000,3
454,466,Dhanmondi Sher-E-Bangla Road,1270,2,8955000,3
455,467,Dhanmondi Sher-E-Bangla Road,1200,2,8500000,3
456,468,Dhanmondi Sher-E-Bangla Road,1160,2,8240000,3
457,469,Dhanmondi Road No 9A,1630,4,13000000,3
458,470,Dhanmondi Road No 9A,2000,3,26000000,3
459,471,Dhanmondi Road No 9A,2280,3,28500000,3
460,472,Dhanmondi Road No 9A,1350,2,16500000,3
461,473,Dhanmondi Road No 9A,1376,4,12000000,3
462,474,Dhanmondi Road No 9A,650,2,5600000,2
463,475,Dhanmondi Road No 9A,3030,4,45000000,4
464,476,Dhanmondi Road No 9A,1880,3,24000000,3
465,477,Dhanmondi Road No 9A,2327,4,25000000,3
466,478,Dhanmondi Road No 9A,2327,4,24000000,3
467,479,Dhanmondi Road No 9A,2924,5,37000000,4
468,480,Dhanmondi Road No 9A,1521,3,15600000,3
469,481,Dhanmondi Road No 9A,2033,5,30000000,3
470,482,Dhanmondi Road No 9A,2150,3,23500000,3
471,483,Dhanmondi Road No 9A,2600,4,30000000,4
472,484,Dhanmondi Road No 9A,1573,4,12500000,4
473,485,Dhanmondi Road No 9A,1050,2,12000000,2
474,486,Dhanmondi Road No 9A,1050,2,12000000,2
475,487,Dhanmondi Road No 9A,1800,3,11000000,3
476,488,Dhanmondi Road No 9A,2150,4,34400000,3
477,489,Dhanmondi Road No 8A,1200,3,9000000,3
478,490,Dhanmondi Road No 8A,1005,2,8000000,3
479,491,Dhanmondi Road No 8A,1240,3,8000000,3
480,492,Dhanmondi Road No 8A,1825,4,22000000,3
481,493,Dhanmondi Road No 8A,1800,3,20000000,3
482,494,Dhanmondi Road No 8A,1350,3,11500000,3
483,495,Dhanmondi Road No 8A,1590,3,15000000,3
484,496,Dhanmondi Road No 8A,2600,3,35000000,3
485,497,Dhanmondi Road No 8A,1200,3,8500000,3
486,498,Dhanmondi Road No 8A,1362,3,12000000,3
487,499,Dhanmondi Road No 8A,1800,4,23000000,3
488,500,Dhanmondi Road No 8A,1250,3,12000000,3
489,501,Dhanmondi Road No 8A,2250,5,34875000,3
490,502,Dhanmondi Road No 8A,1290,3,12000000,3
491,503,Dhanmondi Road No 8A,2010,3,20000000,3
